Customer_id;sum;age;sex;children;distance;pets
183010;24026;2;1;1;1;1
144610;22100;2;1;1;1;1
164930;18200;2;1;1;1;1
141340;17356.3;1;1;1;1;1
13610;15860;1;1;1;1;0
98790;15600;2;1;1;1;1
98550;14950;2;1;1;1;1
54170;14820;2;1;1;1;1
8200;14809.5;2;1;1;1;1
123480;12350;2;1;1;1;1
147510;11830;2;1;1;1;1
215460;11700;2;0;1;1;1
222740;11700;2;1;1;1;1
156280;11050;2;1;1;1;1
141430;10790;2;1;1;1;1
187390;10400;2;1;1;1;1
20200;10270;2;1;1;1;1
39920;10010;2;1;1;1;1
32800;8710;2;1;1;1;1
86850;8515;2;1;1;1;1
212980;8450;2;1;1;1;1
3880;8190;2;1;1;1;1
112000;8151;2;1;1;1;1
13880;8008;2;1;1;1;1
123990;7852;2;1;1;2;1
93790;7839;2;1;1;2;0
181880;7800;2;1;1;2;0
76440;7475;2;1;1;2;1
2190;7280;2;1;1;2;1
181920;7280;2;1;1;2;1
173890;7150;2;1;1;2;1
181800;6656;2;1;1;2;1
48110;6500;2;1;1;2;1
140600;6500;2;1;1;2;1
152410;6500;2;1;1;2;1
155610;6500;2;1;1;2;1
5330;6370;2;1;1;2;1
125260;6110;2;1;1;2;0
61010;5882.5;2;1;1;2;1
246480;5850;2;1;1;2;0
96920;5694;2;1;1;2;1
134220;5590;2;1;1;1;0
146970;5590;2;1;1;1;1
124520;5408;2;1;1;1;1
79990;5395;2;1;1;1;1
12830;5200;2;1;1;1;1
126120;5200;2;1;1;1;1
156050;5200;2;1;1;1;1
216730;5200;2;1;1;1;1
247870;5200;2;1;1;1;1
144520;5122;2;1;1;1;1
107180;5115.5;2;1;1;1;1
13760;5096;2;1;1;1;1
105490;5070;2;1;1;1;0
38570;5005;2;1;1;1;1
91710;5005;2;1;1;1;0
2120;4940;2;1;1;1;0
83500;4901;2;1;1;1;0
193210;4724.044;2;1;1;1;1
37040;4680;2;1;1;1;0
47320;4550;2;1;1;1;0
57780;4550;2;1;1;1;1
172750;4550;2;1;1;1;0
194340;4550;2;1;1;1;0
141230;4485;2;1;1;1;0
149340;4420;2;1;1;1;0
58650;4290;2;1;1;2;1
72000;4160;2;1;1;2;0
14310;4095;2;1;1;2;0
65020;4095;2;1;1;2;0
134030;4095;2;1;1;2;1
12670;4082;2;1;1;2;0
47980;4030;2;1;1;2;0
81950;4030;2;1;1;2;0
162530;4030;2;1;1;2;0
197420;4030;2;1;1;2;1
13340;3900;2;1;1;2;1
34500;3900;2;1;1;2;1
168960;3900;2;1;1;1;1
199750;3900;2;1;1;1;1
215930;3900;2;1;1;1;1
152330;3815.5;2;1;1;2;1
211970;3653;2;1;1;2;1
49850;3646.5;2;1;1;2;1
13820;3640;2;1;1;2;1
14100;3588;2;1;1;2;1
81940;3575;2;1;1;2;1
150920;3568.5;2;1;1;2;1
14580;3510;2;1;1;2;1
141240;3445;2;1;1;2;1
17010;3419;2;1;1;2;1
124350;3328;2;1;1;2;1
108970;3315;2;1;1;2;1
152420;3315;2;1;1;2;1
246530;3250;2;1;1;2;1
4480;3120;2;1;1;2;1
71360;3120;2;1;1;2;1
10030;3068;2;1;1;2;1
15980;3055;2;1;1;2;1
12890;2925;2;1;1;2;1
143260;2925;2;1;1;2;1
10360;2860;2;1;1;2;1
25980;2860;2;1;1;2;1
182050;2860;2;1;1;2;1
234330;2860;2;1;1;2;1
7730;2795;2;1;1;2;1
171990;2795;2;1;1;2;1
96340;2730;2;1;1;2;1
103420;2730;2;1;1;2;1
133080;2730;2;1;1;2;1
190310;2730;2;1;1;2;1
190570;2730;2;1;1;2;1
216650;2730;2;1;1;2;1
157770;2688.4;2;1;1;2;1
132210;2678;2;1;1;2;1
15180;2665;2;1;1;1;1
115130;2665;2;1;1;1;1
150700;2626;2;1;1;1;1
2600;2600;2;1;1;2;1
76170;2600;2;1;1;2;1
127210;2600;2;1;1;2;1
134590;2600;2;1;1;2;1
137760;2600;2;1;1;2;1
140080;2600;2;1;1;2;1
145810;2600;2;1;1;2;1
147700;2600;2;1;1;2;1
183080;2600;2;1;1;2;1
200620;2600;2;1;1;2;1
212920;2600;2;1;1;2;1
221840;2600;2;1;1;3;1
222460;2600;2;1;1;3;1
159440;2567.5;2;1;1;3;1
83120;2548;2;1;1;3;1
104030;2535;2;1;1;2;1
150330;2528.5;2;1;1;2;1
90940;2470;2;0;1;2;1
126600;2470;2;1;0;2;1
90980;2424.5;2;1;0;2;1
260020;2420.6;2;1;0;2;1
90920;2375.1;2;1;0;2;1
12800;2366;2;1;1;2;1
65830;2340;2;0;0;2;1
140150;2340;2;0;1;2;1
187660;2340;2;1;1;2;1
251560;2340;2;1;1;2;1
52630;2327;2;0;1;2;1
150370;2301;2;1;1;2;1
9190;2275;2;1;1;2;1
93560;2275;2;1;1;2;1
143500;2275;2;1;1;2;1
10780;2236;2;1;1;2;1
73170;2210;2;1;1;2;1
126430;2210;2;1;1;1;1
126880;2210;2;1;1;1;1
147630;2210;2;1;1;1;1
194330;2210;2;1;1;2;1
234510;2210;2;1;1;2;1
110210;2145;2;1;1;2;1
159890;2145;2;1;1;2;1
13500;2086.5;2;1;1;2;1
14640;2080;2;1;1;2;1
96620;2080;2;1;1;2;1
129980;2080;2;1;1;2;1
188600;2080;2;1;1;2;1
48640;2054;2;1;1;2;1
4710;2034.5;2;1;1;2;1
100180;2028;2;1;1;3;1
9090;2015;2;1;1;3;1
35460;2015;2;1;1;3;1
90710;2015;2;1;1;3;1
149840;2015;2;1;1;2;1
187960;2015;2;1;1;2;1
76190;2012.855;2;1;1;2;1
9720;2008.5;2;1;1;2;1
91830;2002;2;1;1;2;1
11480;1950;2;1;1;2;1
48100;1950;2;1;1;2;1
150890;1950;2;1;1;2;1
159990;1950;2;1;1;2;1
166760;1950;2;1;1;2;1
177470;1950;2;1;1;2;1
